,CVE_DOC,FECHA_DOC,CANT,CVE_ART,COSTO_TOTAL_CALCULADO
0,F37034,2022-01-05,1,TUE00244,52.8
1,F37036,2022-01-05,1,TUA00028,327.18
2,F37041,2022-01-05,7,TP0007,1243.73
3,F37042,2022-01-05,1,TP0001,38.96
4,F37043,2022-01-05,2,BP00242,203.42
5,F37043,2022-01-05,2,BP00243,98.82
6,F37044,2022-01-05,1,RP00165,5323.76
7,F37046,2022-01-05,3,TP0001,116.88
8,F37048,2022-01-05,1,TUE00207,517.89
9,F37049,2022-01-05,1,TUE00207,517.89
10,F37050,2022-01-05,1,TUE00207,517.89
11,F37051,2022-01-05,1,TUE00207,586.32
12,F37052,2022-01-05,1,TUE00207,586.32
13,F37053,2022-01-05,1,BO00051,86.22
14,F37054,2022-01-05,1,BC00023,742.05
15,F37058,2022-01-05,5,PT00070,397.08
16,F37059,2022-01-05,2,TP0011,248.0
17,F37060,2022-01-05,3,PJ31C1F1AA00,425.69
18,F37061,2022-01-05,5,WRE-2133,393.48
19,F37061,2022-01-05,7,WRE-2774,530.41
20,F37061,2022-01-05,3,WRE-4885,82.29
21,F37067,2022-01-07,3,MR01934,443.27
22,F37068,2022-01-07,1,PT00080,259.35
23,F37068,2022-01-07,1,PT00081,332.65
24,F37069,2022-01-07,2,RP00150,0.72
25,F37071,2022-01-07,3,TUA00009,3245.66
26,F37073,2022-01-07,5,TP0011,620.0
27,F37073,2022-01-07,6,TP0012,264.83
28,F37077,2022-01-07,2,PT00044,978.77
29,F37078,2022-01-07,30,BOBINA001,9163.18
30,F37083,2022-01-10,6,TUE00247,1771.42
31,F37086,2022-01-10,30,BOBINA001,9163.18
32,F37087,2022-01-10,1,TUE00320,178.6
33,F37092,2022-01-11,10,PJ31A1F1A400,689.45
34,F37092,2022-01-11,10,PK31A1F1A400,783.24
35,F37095,2022-01-11,1,RP00172,5.76
36,F37095,2022-01-11,1,RP00173,45.01
37,F37097,2022-01-11,1,BN00232,289.05
38,F37098,2022-01-12,40,CBS00045,2594.17
39,F37100,2022-01-12,1,MR01934,161.73
40,F37102,2022-01-12,3,TUE00321,4527.42
41,F37103,2022-01-12,9,TF71E1120A00,915.42
42,F37105,2022-01-12,10,BO00052,819.14
43,F37107,2022-01-12,8,TUA00404,3980.31
44,F37110,2022-01-13,2,TEE00025,197.51
45,F37114,2022-01-14,1,TUS00049,140.29
46,F37117,2022-01-14,2,TUE00322,363.75
47,F37117,2022-01-14,2,TUE00323,499.77
48,F37117,2022-01-14,4,TUS00020,194.24
49,F37120,2022-01-14,1,TUE00328,195.26
50,F37125,2022-01-17,5,TUS00003,426.47
51,F37126,2022-01-17,1,BB1 1/2X1/2-300W,220.0
52,F37128,2022-01-17,1,TP0008,211.36
53,F37129,2022-01-17,2,TUE00324,484.95
54,F37129,2022-01-17,2,TUE00325,471.13
55,F37130,2022-01-17,1,TUE00326,319.8
56,F37130,2022-01-17,1,TUE00327,313.8
57,F37134,2022-01-17,4,RB00010,178.8
58,F37138,2022-01-18,1,P7J6C1D1A030,4.02
59,F37141,2022-01-19,2,CS12E2040A00,138.46
60,F37142,2022-01-19,2,CS12E2040A00,138.46
61,F37143,2022-01-19,3,BC00024,1668.42
62,F37143,2022-01-19,3,BC00025,1343.05
63,F37143,2022-01-19,6,BP00241,574.91
64,F37143,2022-01-19,2,TP00016,316.8
65,F37147,2022-01-19,8,TUA00258,2181.22
66,F37150,2022-01-19,2,BN00236,323.25
67,F37150,2022-01-19,4,BN00237,422.72
68,F37152,2022-01-20,4,TUA00364,3182.95
69,F37153,2022-01-20,2,BP00245,102.76
70,F37156,2022-01-20,1,BP00244,291.72
71,F37161,2022-01-21,10,PK31B1I1A000,2408.67
72,F37167,2022-01-21,1,BP00051,52.48
73,F37167,2022-01-21,1,TUA00400,139.82
74,F37169,2022-01-21,30,ECQ-00972,8264.95
75,F37171,2022-01-21,3,TU5/16X230MM,600.9
76,F37174,2022-01-24,10,TUE00146,3726.73
77,F37175,2022-01-24,6,BO00054,2162.98
78,F37175,2022-01-24,6,BO00055,2027.79
79,F37178,2022-01-24,8,70001693,907.73
80,F37180,2022-01-24,10,TP0004,771.29
81,F37184,2022-01-24,2,BE00010,231.15
82,F37184,2022-01-24,2,BL00011,330.39
83,F37184,2022-01-24,2,BL00052,771.42
84,F37185,2022-01-25,1,TUS00086,85.89
85,F37187,2022-01-25,12,TEA00058,1151.56
86,F37187,2022-01-25,12,TEA00059,1579.75
87,F37191,2022-01-25,1,TEE00026,292.75
88,F37192,2022-01-25,20,TP0003,1425.02
89,F37193,2022-01-26,1,TP0001,38.96
90,F37198,2022-01-26,3,TUA00410,1090.0
91,F37202,2022-01-26,1,CS14B1010A00,27.08
92,F37204,2022-01-27,1,TUA00350,436.54
93,F37214,2022-01-27,1,TP0001,38.96
94,F37215,2022-01-28,1,PK18J1F1A400,113.22
95,F37217,2022-01-28,3,RP00176,742.57
96,F37219,2022-01-28,3,TUS00064,480.08
97,F37221,2022-01-28,3,TUA00078,1108.78
98,F37222,2022-01-28,2,CS38E1017A00,134.84
99,F37223,2022-01-28,1,TP0003,71.25
100,F37223,2022-01-28,1,TP0025,75.89
101,F37226,2022-01-31,2,PT00082,2428.6
102,F37230,2022-01-31,2,54020219,2082.15
103,F37231,2022-01-31,2,93980461,2597.36
104,F37233,2022-01-31,1,PJ14F10B0600,387.87
105,F37235,2022-01-31,1,TUE00057,435.3
106,F37236,2022-01-31,4,TUE00331,97.52
107,F37237,2022-01-31,1,BT00005,167.3
108,F37238,2022-01-31,1,RC00024,104.4
109,F37239,2022-01-31,2,TUE00332,673.13
110,F37240,2022-01-31,1,TUA00124,647.84
111,F37240,2022-01-31,4,TUE00063,1744.19
112,F37240,2022-01-31,2,TUE00129,898.7
113,F37241,2022-01-31,1,TUE00008,406.61
114,F37242,2022-01-31,1,TUA00401,281.94
